id,Precision_RMS_X_Y
Bab00003_04_01,0.60875
Bab00007_04_01,0.831
Bab00010_03_01,0.387
Bab00012_04_01,0.7916666666666666
Bab00013_03_01,0.246
Bab00014_03_01,0.474
Bab00019_07_01,0.8325
JE0000222_09_01,0.28300000000000003
JE000053_03_01,0.745
JE000053_03_03,0.5525
JE000053_03_06,0.6183333333333333
JE000054_03_03,0.575
JE000054_03_06,0.32
JE000084_04_03,0.65625
JE000084_04_04,0.5722222222222222
JE000084_04_06,0.5595
JE000084_04_07,0.15269230769230768
JE000089_09_04,0.574
JE000094_03_03,0.79
JE000096_06_02,0.454
JE000096_06_04,0.259
JE000096_06_06,0.23555555555555555
JE000096_06_07,0.2311111111111111
JE000100_05_03,0.473
JE000100_05_06,0.29125
JE000101_03_04,0.664
JE000101_03_06,0.5308333333333334
JE000101_03_07,0.3783333333333333
JE000102_04_03,0.2825
JE000102_04_06,0.2145
JE000102_04_07,0.12000000000000001
JE000106_04_04,0.156
JE000106_04_06,0.57125
JE000106_04_07,0.6744444444444444
JE000107_04_04,0.46099999999999997
JE000108_04_04,0.25
JE000108_04_06,0.3075
JE000108_04_07,0.274
JE000115_03_03,0.093
JE000115_03_04,0.225
JE000115_03_06,0.10350000000000001
JE000115_03_07,0.14277777777777778
JE000125_04_06,0.9425
JE000125_04_07,0.5266666666666666
JE000132_03_04,0.36
JE000132_03_06,0.4655
JE000138_04_02,0.95
JE000138_04_04,0.328
JE000138_04_06,0.164
JE000138_04_07,0.38346153846153846
JE000144_04_02,0.558
JE000146_04_03,0.7766666666666666
JE000146_04_04,0.718125
JE000146_04_06,0.4035
JE000146_04_07,0.288
JE000150_04_03,0.83
JE000150_04_04,0.577
JE000150_04_06,0.508
JE000150_04_07,0.3775
JE000155_04_01,0.62375
JE000157_05_01,0.41
JE000157_05_03,0.306
JE000157_05_04,0.2238888888888889
JE000157_05_06,0.203
JE000157_05_07,0.2753333333333334
JE000158_04_03,0.263
JE000158_04_04,0.215
JE000158_04_06,0.279
JE000162_04_04,0.466
JE000162_04_07,0.201
JE000163_03_01,0.58625
JE000166_03_03,0.363
JE000166_04_02,0.5633333333333334
JE000166_04_04,0.27875
JE000166_04_06,0.1375
JE000167_03_03,0.5750000000000001
JE000167_03_04,0.624375
JE000167_03_06,0.5955
JE000167_03_07,0.5883333333333334
JE000168_04_02,0.241
JE000168_04_04,0.258
JE000168_04_06,0.077
JE000171_03_01,0.466
JE000172_05_01,0.539
JE000173_03_02,0.486
JE000173_03_03,0.7055
JE000173_03_04,0.242
JE000173_03_06,0.6940000000000001
JE000174_05_01,0.288
JE000175_04_01,0.4875
JE000179_04_01,0.5975
JE000180_05_01,0.30375
JE000181_03_01,0.321
JE000182_04_01,0.875
JE000183_04_01,0.308
JE000184_04_01,0.485
JE000185_03_01,0.295
JE000186_05_01,0.46499999999999997
JE000187_04_01,0.659
JE000191_05_03,0.5033333333333333
JE000191_05_04,0.2275
JE000191_05_06,0.101
JE000192_03_02,0.2875
JE000192_03_03,0.298
JE000192_03_04,0.256
JE000192_03_06,0.2427777777777778
JE000192_03_07,0.245
JE000193_03_01,0.83875
JE000194_04_01,0.582
JE000195_05_01,0.552
JE000196_03_01,0.35
JE000197_03_01,0.95
JE000202_03_01,0.278
JE000203_03_01,0.6809999999999999
JE000205_04_01,0.575
JE000206_03_01,0.858
JE000208_03_02,0.614
JE000208_03_03,0.2575
JE000208_03_06,0.295
JE000208_03_07,0.20533333333333334
JE000209_04_01,0.4325
JE000211_03_01,0.795
JE000211_03_02,0.6675
JE000211_03_03,0.58
JE000211_03_04,0.294
JE000211_03_06,0.225
JE000212_05_02,0.44
JE000212_05_04,0.321
JE000212_05_07,0.3165
JE000214_04_01,0.116
JE000214_04_02,0.266
JE000214_04_04,0.12384615384615384
JE000214_04_06,0.183
JE000215_03_02,0.67
JE000215_03_03,0.87
JE000215_03_04,0.493
JE000215_03_06,0.297
JE000217_03_01,0.636
JE000217_03_02,0.75375
JE000217_03_03,0.2577777777777778
JE000217_03_06,0.421
JE000217_03_07,0.40499999999999997
JE000219_03_01,0.6174999999999999
JE000219_03_04,0.704
JE000219_03_06,0.2525
JE00022_09_01,0.2866666666666667
JE000221_05_01,0.5833333333333333
JE000221_05_03,0.6206666666666667
JE000221_05_04,0.4285
JE000221_05_06,0.22833333333333333
JE000222_09_02,0.39499999999999996
JE000222_09_04,0.271
JE000222_09_06,0.175
JE000222_09_07,0.112
JE000226_03_04,0.3705
JE000227_04_01,0.5316666666666667
JE000228_04_01,0.9025
JE000228_04_02,0.96375
JE000228_04_03,0.6722222222222222
JE000228_04_04,0.48000000000000004
JE000228_04_06,0.2675
JE000228_04_07,0.4175
JE000229_04_01,0.68125
JE000230_04_01,0.7483333333333333
JE000231_03_04,0.209
JE000231_03_06,0.28600000000000003
JE000233_03_01,0.5783333333333334
JE000233_03_02,0.4525
JE000233_03_03,0.3383333333333333
JE000233_03_04,0.45055555555555554
JE000233_03_06,0.1625
JE000233_03_07,0.22071428571428572
JE000234_04_01,0.73
JE000234_04_03,0.5891666666666666
JE000234_04_07,0.53
JE000235_03_02,0.712
JE000235_03_03,0.6725
JE000235_03_06,0.866
JE000235_03_07,0.658125
JE000235_04_02,0.80625
JE000236_04_01,0.7050000000000001
JE000236_04_02,0.5066666666666666
JE000236_04_03,0.753
JE000236_04_06,0.399
JE000237_04_02,0.49722222222222223
JE000237_04_03,0.79125
JE000237_04_06,0.29178571428571426
JE000237_04_07,0.264
JE000238_03_02,0.55
JE000238_03_06,0.20333333333333334
JE000238_03_07,0.3175
JE000239_04_01,0.8592857142857143
JE000239_04_02,0.605
JE000239_04_03,0.6295
JE000239_04_04,0.5655
JE000240_04_01,0.5175000000000001
JE000240_04_02,0.448
JE000240_04_06,0.588
JE000240_04_07,0.19166666666666668
JE000241_03_01,0.855
JE000241_03_02,0.327
JE000241_03_03,0.5522222222222222
JE000241_03_04,0.5445
JE000241_03_06,0.3620833333333333
JE000241_03_07,0.15638888888888888
JE000253_04_01,0.845
JE000253_04_02,0.542
JE000253_04_04,0.4135
JE000256_03_01,0.415
JE000256_03_02,0.15
JE000256_03_03,0.21444444444444444
JE000256_03_04,0.098
JE000256_03_07,0.08923076923076922
JE000264_03_01,0.7775
JE000265_03_01,0.7715
JE000265_03_03,0.5231250000000001
JE000265_03_05,0.21775
JE000265_03_07,0.305
JE000275_04_01,0.485
JE000275_04_03,0.371
JE000275_04_07,0.3709090909090909
JE000284_03_01,0.655
JE000284_03_03,0.6638888888888889
JE000284_03_04,0.6544444444444444
JE000284_03_06,0.3565
JE000284_03_07,0.5154166666666666
JE000289_03_01,0.77
JE000289_03_03,0.4785
JE000289_03_07,0.5421428571428571
JE000317_03_01,0.7112499999999999
JE000317_03_02,0.606
JE000354_04_01,1.185
JE000354_04_02,0.7575000000000001
JE000354_04_04,0.985
JE000354_04_06,0.5080555555555556
JE000366_05_02,0.6118750000000001
JE000366_05_04,0.455
JE000366_05_06,0.40708333333333335
JE000368_08_02,0.30125
JE000368_08_03,0.1375
JE000368_08_04,0.29833333333333334
JE000368_08_06,0.28363636363636363
JE000381_04_02,0.80875
JE000381_04_04,0.2575
JE000381_04_06,0.215
JE000383_04_06,0.5066666666666667
JE000383_04_07,0.8385714285714285
JE000385_03_04,0.2546428571428571
JE000385_04_01,0.5225
JE000385_04_02,0.361875
JE000385_04_06,0.27285714285714285
JE000395_03_01,1.155
JE000398_03_01,0.49166666666666664
JE000398_03_03,0.33
JE000398_03_04,0.41035714285714286
JE000398_03_06,0.4442857142857143
JE000418_03_06,0.4067857142857143
JE000418_04_01,0.7666666666666666
JE000418_04_03,0.8564285714285714
JE000418_04_04,0.48333333333333334
JE000425_04_03,0.801
JE000425_04_04,0.429375
JE000425_04_06,0.29233333333333333
JE000429_03_01,0.353125
JE000431_05_01,0.1915
JE000431_05_02,0.17222222222222222
JE000431_05_03,0.63625
JE000431_05_04,0.21375
JE000432_05_01,1.0675
JE000432_05_02,0.7308333333333333
JE000432_05_03,0.29227272727272724
JE000432_05_04,0.5493333333333333
JE000432_05_06,0.3153333333333333
JE000444_03_01,0.32166666666666666
JE000444_03_02,0.3605
JE000444_03_03,0.518
JE000444_03_06,0.17733333333333334
JE000445_03_01,0.67
JE000445_03_02,0.4285714285714286
JE000445_03_03,0.3995
JE000454_05_01,0.158
JE000456_04_01,0.4925
JE000456_04_02,0.935
JE000456_04_03,0.44107142857142856
JE000456_04_04,0.206
JE000459_03_02,0.48833333333333334
JE000459_03_03,0.5307142857142857
JE000461_03_01,0.22166666666666668
JE000461_03_02,0.20375
JE000461_03_03,0.44181818181818183
JE000461_04_01,0.2
JE000463_04_01,0.6575
JE000463_04_02,0.39625
JE000466_03_02,0.16722222222222222
JE000466_03_03,0.305
JE000471_03_01,0.631
JE000471_03_02,0.484
JE000471_03_03,0.20714285714285713
JE000471_03_06,0.31133333333333335
JE000473_04_01,0.4085
JE000478_04_01,0.192
JE000478_04_02,0.1985
JE000478_04_03,0.1625
JE000479_03_01,0.795
JE000479_04_02,0.25
JE000479_04_06,0.675
JE000500_03_01,0.241
JE000500_03_02,0.965
JE000509_03_01,0.895
JE000509_03_04,0.355
JE000510_04_03,0.2672222222222222
JE000510_04_04,0.6094117647058823
JE000511_03_01,0.3492857142857143
JE000513_05_01,0.49312500000000004
JE000514_05_01,0.4175
JE000516_04_01,0.7183333333333334
JE000519_03_01,0.795
JE000521_04_01,0.436
JE000522_04_01,0.608125
JE000522_04_02,0.32666666666666666
JE000522_04_04,0.35725
JE000531_03_01,0.618
JE000534_04_01,0.381
JE000535_03_01,0.41300000000000003
JE000536_04_01,0.5857142857142857
JE000537_03_01,0.39166666666666666
JE000538_04_01,0.2966666666666667
JE000539_03_01,0.124
JE000540_03_01,0.355
JE000541_04_01,0.309
JE000542_03_01,0.395625
JE000543_06_01,0.103
JE000546_05_01,0.5394444444444444
JE000547_04_01,0.3283333333333333
JE000550_03_01,0.5194444444444445
JE000552_03_01,0.376875
JE000553_04_01,0.40166666666666667
JE000554_03_01,0.241
JE000555_03_01,0.6204999999999999
JE000556_04_01,0.4585
JE000557_03_01,0.2611111111111111
JE000558_03_01,0.274
JE000563_04_01,0.265
JE000563_04_02,0.2111111111111111
JE000563_04_04,0.3615
JE000564_03_01,0.7825
JE000564_03_04,0.6039473684210527
JE000567_04_01,0.6477777777777778
JE000567_04_02,0.4042857142857143
JE000567_04_04,0.3382142857142857
JE000568_04_01,0.23333333333333334
JE000568_04_04,0.1444736842105263
JE000572_03_01,0.6596153846153846
JE000572_03_03,0.4736111111111111
JE000572_03_04,0.6194736842105263
JE000572_04_02,0.5505555555555556
JE000574_04_01,0.1905
JE000576_03_01,0.216
JE000577_05_01,0.46285714285714286
JE000578_06_01,0.44222222222222224
JE000878_05_01,0.27
JE000880_03_01,0.4705263157894737
JE000885_03_01,0.27
JE000886_06_01,0.25323529411764706
JE000887_03_01,0.45475
JE000anna_04_01,0.3575
MNBCP000018_04_03,0.4543333333333333
MNBCP000018_04_04,0.605
MNBCP000018_04_05,0.47875
MNBCP000029_03_02,0.5391666666666667
MNBCP000029_03_04,0.3095
MNBCP000029_03_05,0.368
MNBCP000034_04_03,0.6826470588235294
MNBCP000034_04_04,0.5492105263157895
MNBCP000035_04_04,0.3446153846153846
MNBCP000035_04_05,0.20233333333333334
MNBCP000038_04_01,0.84
MNBCP000038_04_04,0.2725
MNBCP000038_04_05,0.3596666666666667
MNBCP000039_04_01,0.2753333333333333
MNBCP000039_04_02,0.1975
MNBCP000040_03_01,0.3383333333333333
MNBCP000040_03_03,0.9533333333333333
MNBCP000040_03_04,0.51
MNBCP000052_04_01,0.218125
MNBCP000052_04_02,0.4471428571428572
MNBCP000053_03_03,0.34
MNBCP000054_04_01,0.43785714285714283
MNBCP000054_04_02,0.5355263157894736
MNBCP000055_03_02,0.325
MNBCP000056_03_01,0.1626923076923077
MNBCP000059_06_01,0.19966666666666666
MNBCP000059_06_02,0.34975
MNBCP000060_05_01,0.6475
MNBCP000060_05_02,0.35812499999999997
MNBCP000060_05_03,0.555
MNBCP000060_05_04,0.43772727272727274
MNBCP000061_04_02,0.3605555555555556
MNBCP000061_04_03,0.14275
MNBCP000061_04_04,0.32055555555555554
MNBCP000062_06_01,0.7995
MNBCP000062_06_02,0.36964285714285716
MNBCP000069_03_02,0.27263157894736845
MNBCP000070_04_01,0.38555555555555554
MNBCP000072_04_02,0.165
MNBCP000072_04_03,0.13714285714285715
MNBCP000072_04_04,0.13233333333333333
MNBCP000073_04_02,0.38394736842105265
MNBCP000075_03_02,0.43642857142857144
MNBCP000076_04_02,0.315
MNBCP000078_06_02,0.21428571428571427
MNBCP000080_05_02,0.22428571428571428
MNBCP000084_04_02,0.35575
MNBCP000084_04_03,0.35100000000000003
MNBCP000084_04_04,0.20266666666666666
MNBCP000085_04_02,0.27842105263157896
MNBCP000085_04_03,0.3464285714285714
MNBCP000086_03_01,1.055
MNBCP000086_03_02,0.3915
MNBCP000086_03_03,0.3923333333333333
MNBCP000087_03_01,0.65675
MNBCP000087_03_02,0.40681818181818186
MNBCP000087_03_03,0.2783333333333333
MNBCP000088_04_01,0.12825
MNBCP000088_04_02,0.315
MNBCP000088_04_03,0.18142857142857144
MNBCP000091_03_01,0.1505
MNBCP000091_03_02,0.43666666666666665
MNBCP000091_03_03,0.15678571428571428
MNBCP000092_04_01,0.29875
MNBCP000092_04_02,0.5194444444444445
MNBCP000092_04_03,0.7172727272727273
MNBCP000094_04_03,0.4
MNBCP000095_03_02,0.1755263157894737
MNBCP000095_03_03,0.3075
MNBCP000096_03_02,0.3380769230769231
MNBCP000096_03_03,0.20375
MNBCP000097_03_02,0.39375
MNBCP000098_05_01,0.35823529411764704
MNBCP000099_04_01,0.236875
MNBCP000100_03_01,0.1473684210526316
MNBCP000101_05_01,0.3447058823529412
MNBCP000102_03_01,0.6809090909090909
MNBCP000103_03_01,0.59775
MNBCP000105_04_01,0.2713333333333333
MNBCP000107_03_01,0.2125
MNBCP000111_03_02,0.277
MNBCP000112_03_01,0.3
MNBCP000113_03_01,0.37766666666666665
MNBCP000115_03_01,0.115
MNBCP000116_04_01,0.24818181818181817
MNBCP000117_04_02,0.6066666666666667
MNBCP000119_03_01,0.27166666666666667
MNBCP000120_03_02,0.186
MNBCP000121_05_01,0.3425
MNBCP000122_03_01,0.48833333333333334
MNBCP000124_03_01,0.35733333333333334
MNBCP000133_03_01,0.33766666666666667
MNBCP000134_05_01,0.15555555555555556
MNBCP000135_04_01,0.38571428571428573
MNBCP000136_05_01,0.64375
MNBCP000139_05_01,0.23576923076923076
