id, movie, seg, longestFixDur, faceCount, otherCount 
Bab00003_04_01,01_converted.avi,1,1656,847,809 
Bab00003_04_01,01_converted.avi,2,1032,253,779 
Bab00003_04_01,01_converted.avi,3,1345,118,1227 
Bab00003_04_01,01_converted.avi,4,2284,1165,1119 
Bab00003_04_01,04S_converted.avi,1,1836,0,1836 
Bab00003_04_01,04S_converted.avi,2,2400,0,2400 
Bab00003_04_01,04S_converted.avi,3,1957,86,1871 
Bab00003_04_01,04S_converted.avi,4,1584,17,1567 
Bab00003_04_01,05S_converted.avi,1,666,0,666 
Bab00003_04_01,05S_converted.avi,2,2636,6,2630 
Bab00003_04_01,05S_converted.avi,3,1884,51,1833 
Bab00003_04_01,03_converted.avi,1,2892,2062,830 
Bab00003_04_01,03_converted.avi,2,2713,1931,782 
Bab00003_04_01,03_converted.avi,3,1154,836,318 
Bab00003_04_01,04_converted.avi,1,1836,593,1243 
Bab00003_04_01,04_converted.avi,2,2400,879,1521 
Bab00003_04_01,04_converted.avi,3,1956,439,1517 
Bab00003_04_01,04_converted.avi,4,1598,763,835 
Bab00003_04_01,01S_converted.avi,1,1656,15,1641 
Bab00003_04_01,01S_converted.avi,2,1032,35,997 
Bab00003_04_01,01S_converted.avi,3,1344,0,1344 
Bab00003_04_01,01S_converted.avi,4,2270,0,2270 
Bab00003_04_01,05_converted.avi,1,2136,985,1151 
Bab00003_04_01,05_converted.avi,2,2857,587,2270 
Bab00003_04_01,05_converted.avi,3,1920,722,1198 
Bab00003_04_01,03S_converted.avi,1,2797,54,2743 
Bab00003_04_01,03S_converted.avi,2,1750,1,1749 
Bab00003_04_01,03S_converted.avi,3,1143,0,1143 
Bab00007_04_01,01_converted.avi,1,775,120,655 
Bab00007_04_01,01_converted.avi,2,461,0,461 
Bab00007_04_01,01_converted.avi,3,819,157,662 
Bab00007_04_01,01_converted.avi,4,1430,225,1205 
Bab00007_04_01,04S_converted.avi,1,1836,101,1735 
Bab00007_04_01,04S_converted.avi,2,2400,44,2356 
Bab00007_04_01,04S_converted.avi,3,1238,135,1103 
Bab00007_04_01,04S_converted.avi,4,1581,391,1190 
