id, movie, seg, date, longestFixDur, propInterp, propMissing, warning, h, r2, scmin, scmaxDiv, scres 
Bab00003_04_01,Center_converted_1.avi,NA,8/6/2015,3756,0.011504,0.0017699,0,0.68969,0.99631,4,4,4 
Bab00003_04_01,BottomLeft_converted.avi,NA,8/6/2015,3746,0.0017746,0.0017746,0,0.65774,0.96575,4,4,4 
Bab00003_04_01,TopRight_converted.avi,NA,8/6/2015,3743,0,0.00088889,0,0.72179,0.98854,4,4,4 
Bab00003_04_01,Center_converted_2.avi,NA,8/6/2015,3740,0.005305,0.0070734,0,0.87854,0.97838,4,4,4 
Bab00003_04_01,TopLeft_converted.avi,NA,8/6/2015,3282,0.0062057,0.12589,1,-9999,-9999,4,4,4 
Bab00003_04_01,BottomRight_converted.avi,NA,8/6/2015,3822,0,0.0017391,0,0.6312,0.94963,4,4,4 
Bab00003_04_01,Center_converted_3.avi,NA,8/6/2015,3753,0.015058,0.0017715,0,0.79367,0.85676,4,4,4 
Bab00003_04_01,Center_converted_4.avi,NA,8/6/2015,1223,0.064,0.48356,1,-9999,-9999,4,4,4 
Bab00003_04_01,01_converted.avi,1,8/6/2015,5516,0,0,0,0.81761,0.99899,4,4,4 
Bab00003_04_01,01_converted.avi,2,8/6/2015,3436,0,0,0,0.79181,0.99333,4,4,4 
Bab00003_04_01,01_converted.avi,3,8/6/2015,4479,0,0,0,0.79772,0.99659,4,4,4 
Bab00003_04_01,01_converted.avi,4,8/6/2015,7609,0,0,0,0.8262,0.99896,4,4,4 
Bab00003_04_01,04S_converted.avi,1,8/6/2015,6115,0.00054437,0.00054437,0,0.75265,0.99161,4,4,4 
Bab00003_04_01,04S_converted.avi,2,8/6/2015,7995,0.00041667,0,0,0.67356,0.97605,4,4,4 
Bab00003_04_01,04S_converted.avi,3,8/6/2015,6520,0,0,0,0.6985,0.98258,4,4,4 
Bab00003_04_01,04S_converted.avi,4,8/6/2015,5272,0.0012626,0,0,0.73111,0.99258,4,4,4 
